artist_id	name	followers	popularity	genres	image_url
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	29397183	90.0	['permanent wave', 'pop']	https://i.scdn.co/image/4ffd6710617d289699cc0df60cf975e316025119
6Te49r3A6f5BiIgBRxH7FH	Ninho	4239063	84.0	['french hip hop', 'pop urbaine']	https://i.scdn.co/image/ab67616d0000b2733f12b172c90b9fe9232f38d0
4QrBoWLm2WNlPdbFhmlaUZ	KEVVO	167419	75.0	['perreo', 'reggaeton', 'reggaeton flow', 'trap latino']	https://i.scdn.co/image/9a75b11e5080f576bdff7658ee8465857a63d6b8
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	1134117	89.0	['alt z', 'pop', 'post-teen pop']	https://i.scdn.co/image/5fb1f691c5d3cdbc54e1934c1b76e0ce00bcee9b
6KImCVD70vtIoJWnq6nGn3	Harry Styles	13439256	91.0	['pop', 'post-teen pop']	https://i.scdn.co/image/b2163e7456f3d618a0e2a4e32bc892d6b11ce673
6TOKWuw816UU34AE4MCZqr	Beltito	735			
7F2utINZ6tSokSiZTQBE27	Guè Pequeno	1564947	76.0	['italian hip hop', 'italian pop']	https://i.scdn.co/image/8c0ddb6022be1bbb4795cb41082a19b0b196566e
2kCcBybjl3SAtIcwdWpUe3	Lil Peep	6531226	90.0	['emo rap', 'lgbtq+ hip hop']	https://i.scdn.co/image/06404029eb0ce3b6f3b9bc95b7d6b5491a20f9dc
7b79bQFziJFedJb75k6hFt	Tion Wayne	222424	71.0	['london rap', 'uk hip hop']	https://i.scdn.co/image/cd5bce94c304c5cd608edab6288cc6e2b48563bf
2UZIAOlrnyZmyzt1nuXr9y	Nicki Nicole	1235456		['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino']	https://i.scdn.co/image/a5f4ce02d179a6f41fc4304df4e72fc20c56f06c
6lUWb46h9Y8H8cqpW3i0pc	Rymez	1549	48.0		https://i.scdn.co/image/18f870e05c4f610fcb1f3a7921b0151a6e8ddb47
