chart_week,position,track_name,artist,streams,song_id
2020-01-02,1,Dance Monkey,Tones And I,50183626,1rgnBhdG2JDFTbYkYRZAku
2020-01-02,2,ROXANNE,Arizona Zervas,33254585,696DnlkuDOXcMAnKlTgXXK
2020-01-02,3,Tusa,KAROL G,29349573,7k4t7uLgtOxPwTpFmtJNTY
2020-01-02,4,Memories,Maroon 5,26067853,2b8fOow8UzyDFAE27YhOZM
2020-01-02,5,Falling,Trevor Daniel,25901488,4TnjEaWOeW0eKTKIEvJyCa
2020-01-02,6,Circles,Post Malone,25481417,21jGcNKet2qwijlDFuPiPb
2020-01-02,7,Don't Start Now,Dua Lipa,25355075,6WrI0LAC5M1Rw2MnX2ZvEg
2020-01-02,8,Blinding Lights,The Weeknd,24279792,0sf12qNH5qcw8qpgymFOqD
2020-01-02,9,Señorita,Shawn Mendes,22341642,6v3KW9xbzN5yKLt9YKDYA2
2020-01-02,10,everything i wanted,Billie Eilish,21828884,3ZCTVFBt2Brf31RLEnCkWJ
2020-01-02,11,RITMO (Bad Boys For Life),Black Eyed Peas,21495411,6cy3ki60hLwimwIje7tALf
2020-01-02,12,Someone You Loved,Lewis Capaldi,19926066,7qEHsqek33rTcFNT9PFqLf
2020-01-02,13,The Box,Roddy Ricch,19692658,0nbXyq5TXYPCO7pr3N8S4I
2020-01-02,14,bad guy,Billie Eilish,19126747,2Fxmhks0bxGSBdJ92vM42m
2020-01-02,15,Adore You,Harry Styles,17625649,3jjujdWJ72nww5eGnfs2E7
2020-01-02,16,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,16492946,7h0d2h0fUmzbs7zeFigJPn
2020-01-02,17,My Oh My (feat. DaBaby),Camila Cabello,16413012,3yOlyBJuViE2YSGn3nVE1K
2020-01-02,18,Lose You To Love Me,Selena Gomez,15874364,1HfMVBKM75vxSfsQ5VefZ5
2020-01-02,19,hot girl bummer,blackbear,15465132,7aiClxsDWFRQ0Kzk5KI5ku
2020-01-02,20,Vete,Bad Bunny,15413004,5DxXgozhkPLgrbKFY91w0c
2020-01-02,21,Ride It,Regard,15031525,2tnVG71enUj33Ic2nFN6kZ
2020-01-02,22,Watermelon Sugar,Harry Styles,14548153,6UelLqGlWMcVH1E5c4H7lY
2020-01-02,23,HIGHEST IN THE ROOM,Travis Scott,13722175,3eekarcy7kvN4yt5ZFzltW
2020-01-02,24,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13525959,0RiRZpuVRbi7oqRdSMwhQY
2020-01-02,25,China,Anuel AA,13153651,2ksOAxtIxY8yElEWw8RhgK
2020-01-02,26,BOP,DaBaby,13108721,6Ozh9Ok6h4Oi1wUSLtBseN
2020-01-02,27,OUT WEST (feat. Young Thug),JACKBOYS,13014508,6gi6y1xwmVszDWkUqab1qw
2020-01-02,28,I Don't Care (with Justin Bieber),Ed Sheeran,12885850,0hVXuCcriWRGvwMV1r5Yn9
2020-01-02,29,Heartless,The Weeknd,12781406,57vxBYXtHMk6H1aD29V7PU
2020-01-02,30,Beautiful People (feat. Khalid),Ed Sheeran,12673326,70eFcWOvlMObDhURTqT4Fv
2020-01-02,31,Lucid Dreams,Juice WRLD,12337982,285pBltuF7vW8TeWk8hdRR
2020-01-02,32,No Idea,Don Toliver,12330887,3VyjsVV24RmBIbWJAeUJNu
2020-01-02,33,Bandit (with YoungBoy Never Broke Again),Juice WRLD,12112872,6Gg1gjgKi2AK4e0qzsR7sd
2020-01-02,34,Fantasias,Rauw Alejandro,11929120,6mAN61JH0dzyZpWslS11jy
2020-01-02,35,Before You Go,Lewis Capaldi,11851834,2gMXnyrvIjhVBUZwvLZDMP
2020-01-02,36,GANG GANG,JACKBOYS,11484613,6uJONCdr2rC65BNmCnTBWK
2020-01-02,37,Futsal Shuffle 2020,Lil Uzi Vert,11472876,2Ec33AVlkTTq8BHFgBTdQs
2020-01-02,38,WHAT TO DO? (feat. Don Toliver),JACKBOYS,10980949,4AO1XhrgJczQ9bNVxdfKQe
2020-01-02,39,Had Enough (feat. Quavo & Offset),Don Toliver,10967607,2jrAaawDRCn1JjeouxAyDN
2020-01-02,40,Lose Control,MEDUZA,10632666,7CHi4DtfK4heMlQaudCuHK
2020-01-02,41,7 rings,Ariana Grande,10570155,6ocbgoVGwYJhOv1GgI9NsF
2020-01-02,42,How Do You Sleep?,Sam Smith,10544297,6b2RcmUt1g9N9mQ3CbjX2Y
2020-01-02,43,LA CANCIÓN,J Balvin,10501991,0fea68AdmYNygeTGI4RC18
2020-01-02,44,Old Town Road - Remix,Lil Nas X,10483714,2YpeDb67231RjR0MgVLzsG
