song_id	song_name	artist_id	artist_name	popularity	explicit	song_type	track_number	num_artists	num_available_markets	release_date	duration_ms	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo
2rRJrJEo19S2J82BDsQ3F7	Falling	['7uaIm6Pw7xplS8Dy06V6pT']	['Trevor Daniel']	77	False	Solo	10	1	177	2020-03-26	159381	10	0	4	0.123	0.784	0.43	0	0.0887	-8.756	0.0364	0.236	127.087
3BYIzNZ3t9lRQCACXSMLrT	Venetia	['4O15NlyKLIASxsJ0PrXPfz']	['Lil Uzi Vert']	66	True	Solo	14	1	178	2020-03-06	188800	9	1	4	0.162	0.775	0.757	0	0.148	-4.139	0.175	0.562	142.933
1g3J9W88hTG173ySZR6E9S	Tilidin Weg	['1aS5tqEs9ci5P9KD9tZWa6']	['Bonez MC']	13	False	Solo	1	1	0	2020-07-30	180950	10	0	4	0.113	0.882	0.53	0.479	0.0838	-8.544	0.233	0.171	109.09
75pQqzwgCjUOSSy5CpmAjy	Pero Ya No	['4q3ewBCX7sLwd24euuV69X']	['Bad Bunny']	74	False	Solo	3	1	177	2020-02-28	160638	4	1	4	0.0475	0.882	0.612	5.07e-06	0.182	-6.103	0.118	0.742	147.982
7kDUspsoYfLkWnZR7qwHZl	my ex's best friend (with blackbear)	['6TIYQ3jFPwQSRmorSezPxX', '2cFrymmkijnjDg9SS92EPM']	['Machine Gun Kelly', 'blackbear']	86	True	Collaboration	11	2	178	2020-09-25	139460	5	0	4	0.00473	0.731	0.675	0	0.141	-5.134	0.0434	0.298	124.939
1IcR6RlgvDczfvoWJSSY2A	It's the Most Wonderful Time of the Year	['4sj6D0zlMOl25nprDJBiU9']	['Andy Williams']	43	False	Solo	4	1	24	1963	151000	2	1	3	0.871	0.234	0.526	2.34e-06	0.122	-11.656	0.0411	0.649	201.739
2gwkD6igEhQbDQegRCcdoB	Suge	['4r63FhuTkUYltbVAg5TQnk']	['DaBaby']	78	True	Solo	2	1	176	2019-03-01	163320	2	0	4	0.0608	0.876	0.662	0	0.127	-6.482	0.426	0.844	75.445
2Ec33AVlkTTq8BHFgBTdQs	Futsal Shuffle 2020	['4O15NlyKLIASxsJ0PrXPfz']	['Lil Uzi Vert']	70	True	Solo	1	1	178	2019-12-12	198912	7	0	4	0.0327	0.881	0.457	0	0.231	-8.191	0.156	0.296	136.97
1ggYjU6zdFHgANcku82boU	Afterthought	['3MZsBdqDrRTJihTHQrO6Dq', '0Cp8WN4V8Tu4QJQwCN5Md4']	['Joji', 'BENEE']	60	False	Collaboration	13	2	178	2020-09-24	194871	1	1	4	0.398	0.668	0.547	0.0766	0.0931	-8.024	0.0353	0.192	83.5
0bMbDctzMmTyK2j74j3nF3	Alone, Pt. II	['7vk5e3vY1uw9plTHJAMwjN', '4npEfmQ6YuiwW1GpUmaq3F']	['Alan Walker', 'Ava Max']	79	False	Collaboration	1	2	178	2019-12-27	179052	3	0	4	0.536	0.67	0.668	0	0.133	-4.306	0.0422	0.608	88.033
35RJhm1pEovTBwnNR0zWad	GREECE (feat. Drake)	['0QHgL1lAIqAw0HtD7YldmP', '3TVXtAsR1Inumwj472S9r4']	['DJ Khaled', 'Drake']	83	True	Collaboration	1	2	178	2020-07-16	218901	5	1	4	0.0743	0.695	0.343	1.04e-06	0.107	-10.798	0.0432	0.229	85.84
27u7t9d7ZQoyjsCROHuZJ3	Tick Tock (feat. 24kGoldn)	['6MDME20pz9RveH9rEXvrOM', '1MIVXf74SZHmTIp4V4paH4', '6fWVd57NKTalqvmjRd2t8Z']	['Clean Bandit', 'Mabel', '24kGoldn']	83	False	Collaboration	1	3	178	2020-08-21	178373	0	1	4	0.369	0.779	0.705	7.91e-06	0.124	-3.895	0.0344	0.946	101.022
27RYrbL6S02LNVhDWVl38b	Happy Xmas (War Is Over) - Remastered 2010	['4x1nvY2FN8jxqAFA0DA02H', '2s4tjL6W3qrblOe0raIzwJ']	['John Lennon', 'Yoko Ono']	65	False	Collaboration	2	2	178	2010-10-05	214333	2	1	3	0.28	0.321	0.64	0	0.718	-10.023	0.0324	0.414	146.172
0gO3E51A3fqp0ypJ26QbVP	T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)	['6icQOAFXDZKsumw3YXyusw', '4lPl9gqgox3JDiaJ1yklKh', '13ubrt8QOOCPljQ2FL1Kca', '4V8LLVI7PbaPR0K2TGSxFF']	['Lil Yachty', 'Tierra Whack', 'A$AP Rocky', 'Tyler, The Creator']	70	True	Collaboration	4	4	178	2020-05-29	232838	10	0	4	0.156	0.784	0.632	0	0.605	-6.083	0.347	0.746	124.603
4z6wo6PJG4Fve45OXK6D9m	Infeliz	['4SsVbpTthjScTS7U2hmr1X', '4q3ewBCX7sLwd24euuV69X']	['Arcangel', 'Bad Bunny']	74	False	Collaboration	5	2	177	2019-12-20	221103	1	1	4	0.366	0.713	0.798	4.3e-06	0.246	-3.147	0.219	0.721	176.073
2Z8yfpFX0ZMavHkcIeHiO1	Monster (Shawn Mendes & Justin Bieber)	['7n2wHs1TKAczGzO7Dd2rGr', '1uNFoZAHBGtllmzznpCI3s']	['Shawn Mendes', 'Justin Bieber']	87	False	Collaboration	1	2	177	2020-11-20	178994	2	0	4	0.0676	0.652	0.383	0	0.0828	-7.076	0.0516	0.549	145.765
2BcnxwxBuar5wjCaLqm5N3	Until I Bleed Out	['1Xyo4u8uXC1ZmMpatF05PJ']	['The Weeknd']	67	True	Solo	14	1	178	2020-03-20	190173	0	0	3	0.423	0.245	0.394	2.9e-05	0.093	-9.887	0.0374	0.148	115.233
6FuGJB290AQMAHTfjOYVaK	Mood (Remix) feat. Justin Bieber, J Balvin & iann dior	['6fWVd57NKTalqvmjRd2t8Z', '1uNFoZAHBGtllmzznpCI3s', '1vyhD5VmyZ7KMfW5gqLgo5', '6ASri4ePR7RlsvIQgWPJpS']	['24kGoldn', 'Justin Bieber', 'J Balvin', 'iann dior']	83	True	Collaboration	1	4	178	2020-11-06	192745	7	0	4	0.151	0.721	0.745	1.24e-06	0.372	-3.508	0.0366	0.699	90.988
28xX6K8LnkZve4RiuEB3iK	Sweet Melody	['3e7awlrlDSwF3iM0WBjGMp']	['Little Mix']	77	False	Solo	1	1	177	2020-10-23	213693	5	0	4	0.0739	0.448	0.824	0	0.113	-4.249	0.057	0.419	119.965
3ndCsZfq8OVwwkz9mmZvUz	Stay	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	79	False	Solo	7	1	176	2020-11-20	204800	6	1	4	0.114	0.582	0.693	0	0.13	-5.048	0.0465	0.341	125.904
5iFwAOB2TFkPJk8sMlxP8g	Make You Mine	['4vxaQs6vK54nK89J1VtLex']	['PUBLIC']	80	False	Solo	2	1	178	2019-08-09	232906	9	1	4	0.0128	0.606	0.799	0	0.15	-4.452	0.0261	0.638	103.014
6WbTTAGKrQtCQvmc5BuYfh	Girls in the Hood	['181bsRPaVXVlUKXrxwZfHK']	['Megan Thee Stallion']	76	True	Solo	1	1	178	2020-06-26	154323	6	1	4	0.00824	0.821	0.863	0	0.0377	-3.159	0.353	0.874	180.013
1yYBOIXO2H9LDqEPui42GM	BaeBae	['6h1s4i4XKIYv4ErDelLDN0']	['Samra']	61	False	Solo	1	1	178	2020-04-09	167826	4	0	4	0.282	0.628	0.712	0	0.156	-4.864	0.156	0.45	86.627
2GiJYvgVaD2HtM8GqD9EgQ	Electric Love	['1KP6TWI40m7p3QBTU6u2xo']	['BØRNS']	85	False	Solo	3	1	178	2015-10-16	218106	6	0	4	0.00543	0.611	0.797	0.00137	0.26	-7.627	0.0533	0.518	120.041
7FtZFla3ZH6PqsAJ9MvVCM	Steppin On Niggas	['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']	['21 Savage', 'Metro Boomin']	61	True	Collaboration	11	2	178	2020-10-02	140832	7	1	4	0.000608	0.849	0.635	8.44e-06	0.062	-4.068	0.254	0.798	89.484
0gWbAFRcUyZKdfUxEOuOiD	Por Primera Vez	['28gNT5KBp7IjEOQoevXf9N', '52qzWdNUp6ebjcNsvgZSiC']	['Camilo', 'Evaluna Montaner']	74	False	Collaboration	1	2	178	2020-03-09	183546	1	1	4	0.152	0.716	0.588	0	0.0847	-3.952	0.116	0.707	165.896
3QIoEi8Enr9uHffwInGIsC	Please Come Home for Christmas - 2013 Remaster	['0ECwFtbIWEVNwjlrfc6xoL']	['Eagles']	56	False	Solo	1	1	161	1994	177440	9	1	3	0.599	0.612	0.289	0.00266	0.0561	-11.568	0.0421	0.466	183.18
1Cv1YLb4q0RzL6pybtaMLo	Sunday Best	['4ETSs924pXMzjIeD6E9b4u']	['Surfaces']	83	False	Solo	7	1	178	2019-01-06	158571	5	1	4	0.183	0.878	0.525	0	0.0714	-6.832	0.0578	0.694	112.022
0VjIjW4GlUZAMYd2vXMi3b	Blinding Lights	['1Xyo4u8uXC1ZmMpatF05PJ']	['The Weeknd']	96	False	Solo	9	1	178	2020-03-20	200040	1	1	4	0.00146	0.514	0.73	9.54e-05	0.0897	-5.934	0.0598	0.334	171.005
0TrPqhAMoaKUFLR7iYDokf	Know Your Worth	['6LuN9FCkKOj5PcnpouEgny', '6nS5roXSAGhTGr34W6n7Et']	['Khalid', 'Disclosure']	80	False	Collaboration	1	2	178	2020-02-04	181436	9	0	4	0.145	0.79	0.694	0.00252	0.281	-7.726	0.0708	0.508	103.007
66VenHDtrQAw7FCjyF2J56	The Christmas Song (Shawn Mendes & Camila Cabello)	['7n2wHs1TKAczGzO7Dd2rGr', '4nDoRrQiYLoBzwC5BhVJzF']	['Shawn Mendes', 'Camila Cabello']	52	False	Collaboration	15	2	178	2020-12-05	196254	2	0	4	0.888	0.341	0.181	0	0.137	-12.073	0.0366	0.212	83.608
3h1EREJfCwyv6cG7CGak5d	What Christmas Means To Me	['7guDJrEfX3qb6FEbdPA5qi']	['Stevie Wonder']	53	False	Solo	12	1	170	1967-11-01	147226	5	1	4	0.244	0.478	0.542	0	0.0839	-10.135	0.0367	0.821	167.486
25zlnOAzbVoOzIeXSvQFf1	Got It On Me	['0eDvMgVFoNV3TpwtrVCoTj']	['Pop Smoke']	81	True	Solo	17	1	178	2020-07-03	164579	2	1	4	0.00815	0.688	0.647	1.65e-05	0.095	-7.258	0.19	0.195	88.834
733c1CWmIGymoQXdp7Us88	Numbers (feat. Roddy Ricch, Gunna and London On Da Track)	['31W5EY0aAly4Qieq6OFu6I', '5Nf5yishRW9Ye174sJISkg', '757aE44tKEUQEqRuT6GnEB', '2hlmm7s2ICUX0LVIhVFlZQ']	['A Boogie Wit da Hoodie', 'London On Da Track', 'Roddy Ricch', 'Gunna']	72	True	Collaboration	5	4	178	2020-02-14	188563	11	0	4	0.517	0.819	0.654	0	0.0996	-6.665	0.136	0.455	133.503
3ee8Jmje8o58CHK66QrVC2	SAD!	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	86	True	Solo	4	1	176	2018-03-16	166605	8	1	4	0.258	0.74	0.613	0.00372	0.123	-4.88	0.145	0.473	75.023
3IB5qOeMayvpOdHxYCL5tZ	ON (Feat. Sia)	['3Nrfpe0tUJi4K4DXYWgMUX', '5WUlDfRSoLAfcVSX1WnrxN']	['BTS', 'Sia']	66	False	Collaboration	20	2	172	2020-02-21	246816	9	0	4	0.137	0.591	0.848	0	0.372	-4.397	0.0828	0.386	105.922
6N22FZs2ZhPBYi3b9XPajV	Still Don't Know My Name	['2feDdbD5araYcm6JhFHHw7']	['Labrinth']	83	False	Solo	12	1	178	2019-10-04	153294	5	1	1	0.471	0.316	0.63	0.262	0.205	-5.963	0.117	0.313	89.643
1yoMvmasuxZfqHEipJhRbp	Hawái	['1r4hJ1h58CWwUQe3MxPuau']	['Maluma']	85	False	Solo	3	1	178	2020-08-21	199112	6	0	4	0.185	0.783	0.727	2.46e-05	0.0626	-3.454	0.389	0.558	180.067
0JP9xo3adEtGSdUEISiszL	Moonlight	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	85	True	Solo	3	1	176	2018-03-16	135090	9	0	4	0.556	0.921	0.537	0.00404	0.102	-5.723	0.0804	0.711	128.009
5ry2OE6R2zPQFDO85XkgRb	Money In The Grave (Drake ft. Rick Ross)	['3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a']	['Drake', 'Rick Ross']	81	True	Collaboration	2	2	173	2019-06-15	205426	10	0	4	0.101	0.831	0.502	0	0.122	-4.045	0.046	0.101	100.541
3goH7O78TLkV9RhCAyM4AT	Fame	['1qQLhymHXFPtP5U8KNKsm6']	['Apache 207']	67	False	Solo	1	1	178	2020-05-08	173760	1	0	4	0.184	0.811	0.645	0	0.103	-8.008	0.104	0.474	129.967
3R3rQ7FbTJdsi5She10YvI	Angst	['2Im8m4STDBosjfmb5hmP80', '6lUWb46h9Y8H8cqpW3i0pc']	['Loredana', 'Rymez']	57	True	Collaboration	1	2	177	2020-03-06	176096	2	1	4	0.0284	0.833	0.677	0	0.0502	-5.537	0.239	0.558	100.073
3e9HZxeyfWwjeyPAMmWSSQ	thank u, next	['66CXWjxzNUsdJxJ2JdwvnR']	['Ariana Grande']	84	True	Solo	11	1	173	2019-02-08	207320	1	1	4	0.229	0.717	0.653	0	0.101	-5.634	0.0658	0.412	106.966
5hvwx5i67IwnCkjl9VHkNv	Diamonds	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	81	False	Solo	1	1	176	2020-09-17	213869	10	0	4	0.154	0.653	0.667	0	0.107	-6.764	0.0423	0.556	104.181
40YbWniIEmqy6s58fYXLUh	Never Love Again	['7dGJo4pcD2V6oG8kP0tJRR']	['Eminem']	63	True	Solo	14	1	173	2020-01-17	177546	5	0	4	0.1	0.747	0.899	0	0.486	-5.125	0.246	0.581	92.029
4ricyQVd20UQde1jpXCSuJ	Winter Wonderland	['2lolQgalUvZDfp5vvVtTYV']	['Tony Bennett']	56	False	Solo	8	1	178	1968-11-06	133866	0	0	4	0.833	0.452	0.366	0	0.0789	-14.152	0.0415	0.629	114.993
4ea9w8c4ROqiZpJVhfBA3m	Hot (Remix) [feat. Gunna and Travis Scott]	['50co4Is1HCEo8bhOyUWKpn', '0Y5tJX1MQlPlqiwlOH1tJY', '2hlmm7s2ICUX0LVIhVFlZQ']	['Young Thug', 'Travis Scott', 'Gunna']	71	True	Collaboration	5	3	178	2019-12-20	279906	7	0	4	0.188	0.845	0.631	0	0.0806	-8.206	0.216	0.545	111.983
7vrJn5hDSXRmdXoR30KgF1	BICHOTA	['790FomKkXshlbRYZFtlgla']	['KAROL G']	93	True	Solo	1	1	178	2020-10-23	178946	1	0	4	0.212	0.863	0.666	0.000493	0.103	-4.158	0.152	0.838	163.908
4Gt2kh3QbAGU6yquOWn4aW	Fake	['5JZ7CnR6gTvEMKX4g70Amv', '4Uc8Dsxct0oMqx0P6i60ea']	['Lauv', 'Conan Gray']	77	True	Collaboration	1	2	178	2020-10-13	146375	4	1	4	0.139	0.703	0.657	0	0.093	-5.363	0.0783	0.455	82.96
3LbZIhU0smEU5SUnxod4j4	Breathe Deeper	['5INjqkS1o8h1imAzPqGZBb']	['Tame Impala']	69	False	Solo	5	1	178	2020-02-14	372866	11	0	4	0.0245	0.664	0.848	0.000127	0.172	-4.51	0.0322	0.502	104.998
61ZM92T2zaXIVsqncThQzC	In Your Eyes (feat. Alida)	['3t5xRXzsuZmMDkQzgOX35S', '1kiq2kUV0cbLUhJsr7cpW0']	['Robin Schulz', 'Alida']	77	False	Collaboration	1	2	175	2020-01-10	208222	8	0	4	0.172	0.57	0.672	1.04e-06	0.0768	-5.888	0.0716	0.461	120.018
71d7LaAgPcNcUopu3OzmP7	Make It Rain (feat. Rowdy Rebel)	['0eDvMgVFoNV3TpwtrVCoTj', '6LXRvV2OAtXF7685fzh3mj']	['Pop Smoke', 'Rowdy Rebel']	66	True	Collaboration	9	2	178	2020-07-03	202443	1	1	4	0.162	0.5	0.767	9.79e-05	0.385	-4.105	0.403	0.58	159.477
2Y0wPrPQBrGhoLn14xRYCG	Come & Go (with Marshmello)	['4MCBfE4596Uoi2O4DtmEMz', '64KEffDW9EtZ1y2vBYgq8T']	['Juice WRLD', 'Marshmello']	85	True	Collaboration	12	2	178	2020-07-10	205484	0	1	4	0.0172	0.625	0.814	0	0.158	-5.181	0.0657	0.535	144.991
02kDW379Yfd5PzW5A6vuGt	Lemonade	['6MPCFvOQv5cIGfw3jODMF0', '2hlmm7s2ICUX0LVIhVFlZQ', '4Gso3d4CscCijv0lmajZWs', '7rkW85dBwwrJtlHRDkJDAC']	['Internet Money', 'Gunna', 'Don Toliver', 'NAV']	88	True	Collaboration	1	4	178	2020-08-14	195428	1	0	4	0.256	0.799	0.66	0	0.111	-6.153	0.079	0.471	140.04
2nNGV59DJJwk7D5ImGf6uc	Donuts	['5eioJDe26lOqkAMbuhzZYs']	['Gzuz']	1	True	Solo	1	1	0	2020-01-23	162927	11	0	4	0.0919	0.782	0.712	9.33e-05	0.0818	-7.377	0.233	0.572	141.021
3s4mrPrEFFPF0LmAfutW0n	The London (feat. J. Cole & Travis Scott)	['50co4Is1HCEo8bhOyUWKpn', '6l3HvQ5sa6mXTsMTB19rO5', '0Y5tJX1MQlPlqiwlOH1tJY']	['Young Thug', 'J. Cole', 'Travis Scott']	73	True	Collaboration	19	3	178	2019-08-16	200186	4	0	4	0.0249	0.784	0.517	1.44e-06	0.155	-8.981	0.209	0.206	97.991
0uDdI4fAXCuNhQbmxENdsO	Can I	['0cGUm45nv7Z6M6qdXYQGTX']	['Kehlani']	71	True	Solo	2	1	178	2020-05-08	167810	1	1	4	0.419	0.574	0.791	0	0.0982	-3.752	0.11	0.612	119.537
3qM0vBxIe4VUbK0Z0smuVP	Medusa	['0EFisYRi20PTADoJrifHrz', '2R21vXR83lH98kGeO99Y66', '1vyhD5VmyZ7KMfW5gqLgo5']	['Jhay Cortez', 'Anuel AA', 'J Balvin']	73	True	Collaboration	1	3	178	2020-02-05	305333	0	1	4	0.194	0.886	0.604	3.15e-06	0.107	-7.293	0.208	0.383	98.023
6NfrH0ANGmgBXyxgV2PeXt	La Difícil	['4q3ewBCX7sLwd24euuV69X']	['Bad Bunny']	81	True	Solo	2	1	177	2020-02-28	163084	8	0	4	0.0861	0.685	0.848	7.14e-06	0.0783	-4.561	0.0858	0.761	179.87
5jSBnH9NyaNP5zdSB3pwgu	Gimme Love	['3MZsBdqDrRTJihTHQrO6Dq']	['Joji']	70	False	Solo	6	1	178	2020-09-24	214557	5	1	3	0.695	0.484	0.632	0.0243	0.209	-6.917	0.0976	0.0736	126.384
3apeXzypBMnUfYcZYNX6DH	I CAN'T STOP ME	['7n2Ycct7Beij7Dj7meI4X0']	['TWICE']	67	False	Solo	1	1	1	2020-10-26	205493	10	0	4	0.121	0.657	0.88	0	0.463	-3.672	0.102	0.769	150.084
7qEHsqek33rTcFNT9PFqLf	Someone You Loved	['4GNC7GD6oZMSxPGyXy4MNB']	['Lewis Capaldi']	90	False	Solo	4	1	178	2019-05-17	182160	1	1	4	0.751	0.501	0.405	0	0.105	-5.679	0.0319	0.446	109.891
3dYD57lRAUcMHufyqn9GcI	Take Me To Church	['2FXC3k01G6Gw61bmprjgqS']	['Hozier']	83	False	Solo	1	1	170	2014-07-20	241688	4	0	4	0.634	0.566	0.664	0	0.116	-5.303	0.0464	0.437	128.945
4R2kfaDFhslZEMJqAFNpdd	cardigan	['06HL4z0CvFAxyc27GXpf02']	['Taylor Swift']	82	False	Solo	2	1	178	2020-07-24	239560	0	0	4	0.537	0.613	0.581	0.000345	0.25	-8.588	0.0424	0.551	130.033
5QZKcQDp0tCcvMdyqEciBV	Tommy Lee (feat. Post Malone)	['1MXZ0hsGic96dWRDKwAwdr', '246dkjvS1zLTtiykXe5h60']	['Tyla Yaweh', 'Post Malone']	77	True	Collaboration	1	2	178	2020-06-12	224638	10	1	3	0.218	0.457	0.621	0	0.0944	-5.923	0.138	0.634	85.359
2b8fOow8UzyDFAE27YhOZM	Memories	['04gDigrS5kc9YWfZHwBETP']	['Maroon 5']	88	False	Solo	1	1	178	2019-09-20	189486	11	1	4	0.837	0.764	0.32	0	0.0822	-7.209	0.0546	0.575	91.019
